"","shape.trait1","resid.trait1","trait1","shape.trait2","resid.trait2","trait2","shape.trait3","resid.trait3","trait3","shape.trait4","resid.trait4","trait4","shape.trait5","resid.trait5","trait5","shape.trait6","resid.trait6","trait6"
"manyfaces01_vid02_clip06_face04_2secs",0.234653616043998,0.932788343579111,1.16749825715292,0.545925090590961,0.246339525054612,0.770682262942667,0.3807418408579,1.38131061092335,1.77360552016211,0.0335248370348527,-1.25457595413799,-1.20148617302586,-0.76853312995216,-1.75095535010342,-1.8826493441752,0.208444000707704,-0.0455029000560991,0.15408263442881
"manyfaces01_vid02_clip06_face05_2secs",-0.216611913775095,0.565879483243371,0.356681440795726,0.372327916383017,0.659952583412813,1.01795229839064,0.625742721640879,1.67029794420325,2.31141323475558,-0.117296964701181,-0.574171758703695,-0.766797439995203,0.276109745271358,-0.883549522782272,-0.837805830245272,-0.479683971634799,0.926268904662314,0.439020117877831
"manyfaces01_vid02_clip06_face06_2secs",1.14087440955386,0.742032670727402,1.86818807164515,1.12733511275598,0.0643942588122337,1.14585148360654,0.728371639918779,0.830992772694472,1.57633693988634,-0.196295229996468,0.825584065003944,0.504256199660231,-0.0829050798479137,0.921939260259576,0.906702533996717,-0.393221120437245,0.847398994112495,0.446450512073842
"manyfaces01_vid03_clip01_face01_2secs",0.865677196557498,-1.09974288065131,-0.244297791626843,-0.440965017909813,0.430624759895025,0.00931682877171235,0.637353165451101,0.333183215943554,0.986089954130059,-0.0722342444604026,1.23938330392168,1.12017278551563,-0.0755578198335322,-0.845172515605236,-0.85916127392538,0.359292501654037,0.261161307079276,0.611311753798869
"manyfaces01_vid03_clip01_face05_2secs",-0.775625192444424,0.212730481950515,-0.546366512500917,-0.301566103580075,0.573461802306726,0.285727685998146,0.430060104066141,0.660293793059563,1.10267582450776,0.111524743641807,-0.0145290334471279,0.165636428360758,-0.612503682319002,1.13643265167322,1.03124102016717,0.279643339680768,0.367851573938403,0.638502595692958
"manyfaces01_vid03_clip01_face06_2secs",-0.449229784365899,-0.28702315696039,-0.725046395760663,-0.495007140361402,-1.22031742703075,-1.69340920805887,0.119417854479159,0.247263362030724,0.374160311354638,-0.0472283334214607,0.190919777990766,0.112448323321075,1.40966077319835,-0.362807821085095,-0.124524958637676,-0.174371978822125,0.25376185411669,0.0712510866937053
"manyfaces01_vid03_clip01_face07_2secs",-0.323060384203858,0.273421093630808,-0.0404898502178939,0.208449545172765,-0.214741023065134,-0.0137716502060408,0.252623790415629,0.620627145237641,0.882806676677263,0.214751874748088,1.14806891457413,1.49640967968977,-0.342484662388994,0.541832745238203,0.482505161028213,0.844214906961414,0.740499928661719,1.5746611473658
"manyfaces01_vid03_clip01_face08_2secs",-0.129349757575463,-0.736649527476814,-0.860008163107518,0.257414581504742,-0.49137327038541,-0.243484976192876,0.348265266628389,-0.728829082462257,-0.369517048867543,-0.179699045065997,-0.46355815728296,-0.757847894137371,0.330098111651043,0.829982194319534,0.884896074163032,-0.286466552764478,0.906438032631307,0.612043424257068
"manyfaces01_vid03_clip02_face03_2secs",0.0893295312559816,0.388364705865141,0.480119943807514,-0.344983316743127,0.60103413168172,0.271697088846072,0.514093816311591,-0.0823326145165902,0.445393193073495,-0.0892042721248099,1.31607975512063,1.16922205211284,-0.285508923253009,0.472947567004154,0.423297589931389,-0.108841776101911,-0.0177349860944575,-0.134838744767648
"manyfaces01_vid03_clip02_face04_2secs",0.0154852381737805,-0.765247053213859,-0.746132127991826,-0.199753011624953,-1.96016280699687,-2.15033832210745,-0.0909198979872917,-0.32448945664976,-0.411209371094194,0.0146756771005157,-0.388009979902175,-0.365628823112758,0.427706888881456,0.954359053862572,1.02585226051263,-0.331641067321737,0.177673612037365,-0.161810584744371
"manyfaces01_vid03_clip02_face09_2secs",-1.34230428608044,-0.407018542958757,-1.72355531854503,-0.3797284733012,0.689723612042611,0.327093317748641,0.249059924028506,0.946298124730408,1.20485823002527,0.0778201718359823,0.00485810502797419,0.130112842052986,-0.475237549673931,-1.10362136325361,-1.1854976727449,0.293915117069182,0.389922943137127,0.674818911950745
"manyfaces01_vid03_clip03_face02_2secs",-0.501462487777709,-0.473311075151323,-0.962715399092991,0.351227154078669,0.594125716478175,0.931906412319138,0.725625938172225,0.921519976642791,1.66407563730616,-0.114431648709772,0.385472365339385,0.197514791945128,0.3797820095675,0.0332019195408631,0.0965548517314293,0.475095777669087,0.534234256911526,0.999970274454246
"manyfaces01_vid03_clip03_face10_2secs",0.260265353770418,-0.841407607614233,-0.581503538065668,0.309907841104544,-0.949901899726348,-0.651713895736792,0.342055887073739,-0.721944635611799,-0.368938784197212,-0.0215392802854451,0.209369443037535,0.172750011731649,0.269484607751304,0.640814553387926,0.685432934009338,-0.186754223591488,0.765776384173532,0.570906650070256
"manyfaces01_vid03_clip03_face12_2secs",-1.0574251671067,0.683295268041151,-0.353007146486078,0.256169808643597,-0.80812267203368,-0.561427135047616,0.300743375047795,0.353900882675211,0.66495017065841,0.0680811086986778,0.0488514449312004,0.158239520938933,0.0201907379530075,-0.104150672392126,-0.101876071249702,0.0413233007239609,-0.222890546708596,-0.190111532459532
"manyfaces01_vid03_clip03_face13_2secs",-0.0719655748889926,0.0304834290342645,-0.0364266335035091,-0.189308335152637,0.159899366980157,-0.0202679261322738,0.048513007136748,0.0648656433934981,0.119752357095658,0.0277925829522333,-0.660499397281722,-0.616748474652347,-0.522984680612792,-0.614146817524754,-0.704133210047221,-0.0642470126116667,0.253500805117587,0.180907973692018
"manyfaces01_vid03_clip03_face14_2secs",0.488731213417137,-0.429824765317767,0.0548201853194037,0.468197657051237,1.63725442540494,2.08711774669509,0.592499049161935,-0.484991387922686,0.122361969872342,-0.394027262495615,1.76522937733784,1.12176096441883,0.378399710385122,0.404631876744439,0.467750018678029,-0.322940762717862,0.54226157473266,0.211461326355312
"manyfaces01_vid03_clip03_face15_2secs",-0.583036597177826,1.36539820679284,0.795749783146521,-0.0920204584670408,-1.87827058735586,-1.96521539816558,0.300824005939376,0.940789998625856,1.25192117451544,0.0223281188983516,0.198475969414088,0.233324311008544,0.485342475940964,0.532075692205406,0.613358584380281,0.460746275830708,0.174440701671655,0.625854193823979
